"","moving_average","price","date"
"128",62.0117188561694,59.599998,2020-07-06
"129",61.9150427005022,61.48,2020-07-07
"130",61.4686711185927,59.459999,2020-07-08
"131",61.0725492788486,59.290001,2020-07-09
"132",60.7448130463306,59.27,2020-07-10
"133",60.0566650379069,56.959999,2020-07-13
"134",59.7463619401056,58.349998,2020-07-14
"135",59.9033872237228,60.610001,2020-07-15
"136",60.0027715466823,60.450001,2020-07-16
"137",60.0404492654673,60.209999,2020-07-17
"138",59.8912768535642,59.220001,2020-07-20
"139",59.7274086983707,58.990002,2020-07-21
"140",59.7842436623033,60.040001,2020-07-22
"141",59.561654087339,58.560001,2020-07-23
"142",59.6577169805501,60.09,2020-07-24
"143",59.6490413477228,59.610001,2020-07-27
"144",59.1746703754096,57.040001,2020-07-28
"145",58.7429119435169,56.799999,2020-07-29
"146",58.5587461356047,57.73,2020-07-30
"147",58.3844282927675,57.599998,2020-07-31
"148",58.1290776940825,56.98,2020-08-03
"149",57.9437910224311,57.110001,2020-08-04
"150",58.3121928365346,59.970001,2020-08-05
"151",58.1827028662556,57.599998,2020-08-06
